Group,Bilateral,Multilateral,Bonds,Other private,Total
All developing,464.02,859.62,1625.74,497.48,3446.86
Low income (LIC),46.8,67.4,6.0,16.0,136.2
Lower-middle income (LMC),311.1,479.7,468.6,142.5,"1,401.9"
Upper-middle income (UMC),106.1,312.5,"1,151.2",339.0,"1,908.8"
Middle income (MIC),415.4,790.8,"1,619.7",481.0,"3,307.0"
Least developed (LDCs),113.3,145.9,21.6,56.8,337.6
Small island developing (SIDS),13.0,19.3,35.3,3.3,70.9
Emerging market (EM),285.5,603.6,"1,558.2",444.1,"2,891.5"
Low income developing (LIDC),176.4,254.6,67.5,53.3,551.8
Poorest (IDA eligible),212.5,281.5,88.6,63.7,646.2
Heavily indebted poor (HIPC),66.2,125.9,38.4,30.5,261.0
Very high HDI,41.9,86.1,281.3,109.7,519.0
High HDI,162.2,373.4,"1,138.6",262.9,"1,937.1"
Medium HDI,165.0,259.9,172.2,96.4,693.5
Low HDI,93.0,140.0,33.6,28.4,294.9
South Asia (SA),111.7,160.9,94.8,51.2,418.6
Europe & Central Asia (ECA),54.0,113.0,222.5,116.9,506.5
Middle East & North Africa (MENA),67.8,79.2,84.3,25.2,256.5
East Asia & Pacific (EAP),90.9,137.9,558.6,96.5,883.9
Latin America & Caribbean (LAC),38.2,208.1,522.3,133.0,901.6
Sub-Saharan Africa (SSA),101.4,160.5,143.2,74.7,479.8
