iso,id,year,GDP ($ billion),GG debt (% of GDP),GG debt ($ billion)
AFG,AFG2000,2000,..,..,..
AFG,AFG2001,2001,..,..,..
AFG,AFG2002,2002,4.367,345.977,15.11
AFG,AFG2003,2003,4.553,270.602,12.32
AFG,AFG2004,2004,5.146,244.967,12.61
AFG,AFG2005,2005,6.167,206.356,12.73
AFG,AFG2006,2006,6.925,22.985,1.59
AFG,AFG2007,2007,8.556,20.137,1.72
AFG,AFG2008,2008,10.297,19.057,1.96
AFG,AFG2009,2009,12.066,16.247,1.96
AFG,AFG2010,2010,15.325,7.697,1.18
AFG,AFG2011,2011,17.89,7.501,1.34
AFG,AFG2012,2012,20.293,6.759,1.37
AFG,AFG2013,2013,20.17,6.904,1.39
AFG,AFG2014,2014,20.616,8.7,1.79
AFG,AFG2015,2015,20.057,9.154,1.84
AFG,AFG2016,2016,18.02,8.437,1.52
AFG,AFG2017,2017,18.883,7.998,1.51
AFG,AFG2018,2018,18.401,7.384,1.36
AFG,AFG2019,2019,18.876,6.13,1.16
AFG,AFG2020,2020,20.136,7.397,1.49
AFG,AFG2021,2021,14.941,..,..
AFG,AFG2022,2022,..,..,..
AFG,AFG2023,2023,..,..,..
AFG,AFG2024,2024,..,..,..
AFG,AFG2025,2025,..,..,..
AFG,AFG2026,2026,..,..,..
AFG,AFG2027,2027,..,..,..
AFG,AFG2028,2028,..,..,..
ALB,ALB2000,2000,3.483,63.769,2.22
ALB,ALB2001,2001,3.928,60.613,2.38
ALB,ALB2002,2002,4.348,64.097,2.79
ALB,ALB2003,2003,5.611,60.245,3.38
ALB,ALB2004,2004,7.185,57.474,4.13
ALB,ALB2005,2005,8.052,58.203,4.69
ALB,ALB2006,2006,8.896,56.688,5.04
ALB,ALB2007,2007,10.677,53.55,5.72
ALB,ALB2008,2008,12.881,55.14,7.10
ALB,ALB2009,2009,12.044,59.666,7.19
ALB,ALB2010,2010,11.937,57.72,6.89
ALB,ALB2011,2011,12.899,59.413,7.66
ALB,ALB2012,2012,12.324,62.144,7.66
ALB,ALB2013,2013,12.784,70.391,9.00
ALB,ALB2014,2014,13.246,71.992,9.54
ALB,ALB2015,2015,11.389,73.716,8.40
ALB,ALB2016,2016,11.862,73.324,8.70
ALB,ALB2017,2017,13.053,71.895,9.38
ALB,ALB2018,2018,15.157,69.472,10.53
ALB,ALB2019,2019,15.399,67.368,10.37
ALB,ALB2020,2020,15.192,75.772,11.51
ALB,ALB2021,2021,17.984,75.218,13.53
ALB,ALB2022,2022,19.083,65.547,12.51
ALB,ALB2023,2023,23.032,62.94,14.50
ALB,ALB2024,2024,25.297,64.181,16.24
ALB,ALB2025,2025,26.361,59.689,15.73
ALB,ALB2026,2026,27.795,60.293,16.76
ALB,ALB2027,2027,29.532,58.819,17.37
ALB,ALB2028,2028,31.436,58.22,18.30
DZA,DZA2000,2000,54.749,57.96,31.73
DZA,DZA2001,2001,54.745,54.267,29.71
DZA,DZA2002,2002,56.761,51.276,29.10
DZA,DZA2003,2003,67.864,41.389,28.09
DZA,DZA2004,2004,85.332,35.211,30.05
DZA,DZA2005,2005,103.198,26.311,27.15
DZA,DZA2006,2006,117.027,23.636,27.66
DZA,DZA2007,2007,134.977,13.506,18.23
DZA,DZA2008,2008,171.001,8.056,13.78
DZA,DZA2009,2009,137.211,9.775,13.41
DZA,DZA2010,2010,161.207,10.492,16.91
DZA,DZA2011,2011,200.02,9.254,18.51
DZA,DZA2012,2012,209.059,9.326,19.50
DZA,DZA2013,2013,209.755,7.094,14.88
DZA,DZA2014,2014,213.81,7.658,16.37
DZA,DZA2015,2015,165.979,8.733,14.49
DZA,DZA2016,2016,160.034,20.438,32.71
DZA,DZA2017,2017,167.498,27.242,45.63
DZA,DZA2018,2018,174.868,38.366,67.09
DZA,DZA2019,2019,171.673,46.046,79.05
DZA,DZA2020,2020,145.656,52.009,75.75
DZA,DZA2021,2021,163.138,62.822,102.49
DZA,DZA2022,2022,195.06,55.621,108.49
DZA,DZA2023,2023,224.107,55.119,123.53
DZA,DZA2024,2024,239.209,58.751,140.54
DZA,DZA2025,2025,247.742,63.929,158.38
DZA,DZA2026,2026,255.315,68.135,173.96
DZA,DZA2027,2027,259.347,72.166,187.16
DZA,DZA2028,2028,262.804,75.815,199.24
AND,AND2000,2000,1.429,..,..
AND,AND2001,2001,1.547,15.774,0.24
AND,AND2002,2002,1.758,15.266,0.27
AND,AND2003,2003,2.362,15.163,0.36
AND,AND2004,2004,2.896,15.105,0.44
AND,AND2005,2005,3.158,14.76,0.47
AND,AND2006,2006,3.456,17.165,0.59
AND,AND2007,2007,3.952,20.872,0.82
AND,AND2008,2008,4.082,27.749,1.13
AND,AND2009,2009,3.675,33.512,1.23
AND,AND2010,2010,3.446,35.02,1.21
AND,AND2011,2011,3.625,36.493,1.32
AND,AND2012,2012,3.189,41.532,1.32
AND,AND2013,2013,3.193,42.533,1.36
AND,AND2014,2014,3.267,42.025,1.37
AND,AND2015,2015,2.789,40.955,1.14
AND,AND2016,2016,2.895,39.773,1.15
AND,AND2017,2017,2.993,37.854,1.13
AND,AND2018,2018,3.217,36.344,1.17
AND,AND2019,2019,3.155,35.365,1.12
AND,AND2020,2020,2.885,46.353,1.34
AND,AND2021,2021,3.325,48.614,1.62
AND,AND2022,2022,3.352,39.369,1.32
AND,AND2023,2023,3.692,37.742,1.39
AND,AND2024,2024,3.919,35.703,1.40
AND,AND2025,2025,4.07,34.449,1.40
AND,AND2026,2026,4.205,33.355,1.40
