iso,name,UNDP 52,All developing,Region,IMF,LIC,LMC,UMC,MIC,LDC,SIDS,Poorest,HIPC,Very high HDI,High HDI,Medium HDI,Low HDI,LLDC
AFG,Afghanistan,1,1,South Asia,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
ALB,Albania,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
DZA,Algeria,0,1,Middle East & North Africa,EM,0,1,0,1,0,0,0,0,0,1,0,0,0
AGO,Angola,0,1,Sub-Saharan Africa,EM,0,1,0,1,1,0,0,0,0,0,1,0,0
ARG,Argentina,1,1,Latin America & Caribbean,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
ARM,Armenia,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,1
AZE,Azerbaijan,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,1
BGD,Bangladesh,0,1,South Asia,LIDC,0,1,0,1,1,0,1,0,0,0,1,0,0
BLR,Belarus,1,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
BLZ,Belize,1,1,Latin America & Caribbean,EM,0,0,1,1,0,1,0,0,0,0,1,0,0
BEN,Benin,0,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,1,0,0,0,1,0
BTN,Bhutan,0,1,South Asia,LIDC,0,1,0,1,1,0,1,0,0,0,1,0,1
BOL,Bolivia,0,1,Latin America & Caribbean,EM,0,1,0,1,0,0,0,1,0,0,1,0,1
BIH,Bosnia and Herzegovina,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
BWA,Botswana,0,1,Sub-Saharan Africa,EM,0,0,1,1,0,0,0,0,0,0,1,0,1
BRA,Brazil,0,1,Latin America & Caribbean,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
BGR,Bulgaria,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
BFA,Burkina Faso,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
BDI,Burundi,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
CPV,Cabo Verde,0,1,Sub-Saharan Africa,EM,0,1,0,1,0,1,1,0,0,0,1,0,0
KHM,Cambodia,0,1,East Asia & Pacific,LIDC,0,1,0,1,1,0,1,0,0,0,1,0,0
CMR,Cameroon,0,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,1,0,0,1,0,0
CAF,Central African Republic,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
TCD,Chad,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
CHN,China,0,1,East Asia & Pacific,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
COL,Colombia,0,1,Latin America & Caribbean,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
COM,Comoros,1,1,Sub-Saharan Africa,LIDC,0,1,0,1,1,1,1,1,0,0,1,0,0
COD,"Congo, Dem. Rep.",0,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,0
COG,"Congo, Rep.",1,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,1,0,0,1,0,0
CRI,Costa Rica,0,1,Latin America & Caribbean,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
CIV,Côte d'Ivoire,0,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,1,0,0,1,0,0
DJI,Djibouti,1,1,Middle East & North Africa,LIDC,0,1,0,1,1,0,1,0,0,0,0,1,0
DMA,Dominica,1,1,Latin America & Caribbean,EM,0,0,1,1,0,1,1,0,0,1,0,0,0
DOM,Dominican Republic,0,1,Latin America & Caribbean,EM,0,0,1,1,0,1,0,0,0,1,0,0,0
ECU,Ecuador,1,1,Latin America & Caribbean,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
EGY,"Egypt, Arab Rep.",0,1,Middle East & North Africa,EM,0,1,0,1,0,0,0,0,0,1,0,0,0
SLV,El Salvador,1,1,Latin America & Caribbean,EM,0,1,0,1,0,0,0,0,0,0,1,0,0
GNQ,Equatorial Guinea,0,1,Sub-Saharan Africa,EM,0,0,1,1,0,0,0,0,0,0,1,0,0
ERI,Eritrea,0,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,0,0,0,0,1,0
SWZ,Eswatini,0,1,Sub-Saharan Africa,EM,0,1,0,1,0,0,0,0,0,0,1,0,1
ETH,Ethiopia,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
FJI,Fiji,0,1,East Asia & Pacific,EM,0,0,1,1,0,1,1,0,0,1,0,0,0
GAB,Gabon,1,1,Sub-Saharan Africa,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
GMB,"Gambia, The",1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,0
GEO,Georgia,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
GHA,Ghana,1,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,1,0,0,1,0,0
