group,indicator,value_n,value_p
All developing,Low,7,10.4
Low income (LIC),Low,0,0
Lower-middle income (LMC),Low,6,17.6
Upper-middle income (UMC),Low,1,11.1
Middle income (MIC),Low,7,16.7
Least developed (LDC),Low,4,9.3
Landlocked developing (LLDC),Low,3,13.6
Small island developing (SIDS),Low,0,0
Emerging market (EM),Low,0,0
Low income developing (LIDC),Low,7,12.5
Poorest (IDA eligible),Low,6,9
Heavily indebted poor (HIPC),Low,1,2.9
Very high HDI,Low,0,0
High HDI,Low,2,25
Medium HDI,Low,5,17.2
Low HDI,Low,0,0
South Asia (SA),Low,2,40
Europe & Central Asia (ECA),Low,2,50
Middle East and North Africa (MENA),Low,0,0
East Asia & Pacific (EAP),Low,2,15.4
Latin America & Caribbean (LAC),Low,1,14.3
Sub-Saharan Africa (SSA),Low,0,0
All developing,Moderate,25,37.3
Low income (LIC),Moderate,11,45.8
Lower-middle income (LMC),Moderate,13,38.2
Upper-middle income (UMC),Moderate,1,11.1
Middle income (MIC),Moderate,13,31
Least developed (LDC),Moderate,19,44.2
Landlocked developing (LLDC),Moderate,8,36.4
Small island developing (SIDS),Moderate,4,22.2
Emerging market (EM),Moderate,2,18.2
Low income developing (LIDC),Moderate,23,41.1
Poorest (IDA eligible),Moderate,26,38.8
Heavily indebted poor (HIPC),Moderate,16,47.1
Very high HDI,Moderate,0,0
High HDI,Moderate,0,0
Medium HDI,Moderate,9,31
Low HDI,Moderate,15,51.7
South Asia (SA),Moderate,1,20
Europe & Central Asia (ECA),Moderate,1,25
Middle East and North Africa (MENA),Moderate,1,50
East Asia & Pacific (EAP),Moderate,3,23.1
Latin America & Caribbean (LAC),Moderate,2,28.6
Sub-Saharan Africa (SSA),Moderate,18,48.6
All developing,High,24,35.8
Low income (LIC),High,9,37.5
Lower-middle income (LMC),High,9,26.5
Upper-middle income (UMC),High,6,66.7
Middle income (MIC),High,15,35.7
Least developed (LDC),High,13,30.2
Landlocked developing (LLDC),High,6,27.3
Small island developing (SIDS),High,12,66.7
Emerging market (EM),High,8,72.7
Low income developing (LIDC),High,16,28.6
Poorest (IDA eligible),High,24,35.8
Heavily indebted poor (HIPC),High,11,32.4
Very high HDI,High,0,0
High HDI,High,5,62.5
Medium HDI,High,9,31
Low HDI,High,10,34.5
South Asia (SA),High,2,40
Europe & Central Asia (ECA),High,1,25
Middle East and North Africa (MENA),High,0,0
East Asia & Pacific (EAP),High,7,53.8
Latin America & Caribbean (LAC),High,3,42.9
Sub-Saharan Africa (SSA),High,11,29.7
All developing,In debt distress,11,16.4
Low income (LIC),In debt distress,4,16.7
Lower-middle income (LMC),In debt distress,6,17.6
Upper-middle income (UMC),In debt distress,1,11.1
Middle income (MIC),In debt distress,7,16.7
Least developed (LDC),In debt distress,7,16.3
Landlocked developing (LLDC),In debt distress,5,22.7
Small island developing (SIDS),In debt distress,2,11.1
Emerging market (EM),In debt distress,1,9.1
Low income developing (LIDC),In debt distress,10,17.9
Poorest (IDA eligible),In debt distress,11,16.4
Heavily indebted poor (HIPC),In debt distress,6,17.6
Very high HDI,In debt distress,0,0
High HDI,In debt distress,1,12.5
Medium HDI,In debt distress,6,20.7
Low HDI,In debt distress,4,13.8
South Asia (SA),In debt distress,0,0
Europe & Central Asia (ECA),In debt distress,0,0
Middle East and North Africa (MENA),In debt distress,1,50
East Asia & Pacific (EAP),In debt distress,1,7.7
Latin America & Caribbean (LAC),In debt distress,1,14.3
Sub-Saharan Africa (SSA),In debt distress,8,21.6
